dataset,pred_len,seed,mse,mae
ETTm2,720,2021,0.3503765890598296,0.3792758285999298
ETTm2,720,2022,0.3511650989055633,0.3796931207180023
ETTm2,720,2023,0.3501165041923522,0.3794217705726623
ETTm2,720,2024,0.3523333797454833,0.3794750273227691
ETTm2,720,2025,0.3510084280967712,0.3791165649890899
electricity,96,2021,0.1369200850725174,0.2332804054021835
electricity,96,2022,0.1366563643217086,0.2328865826129913
electricity,96,2023,0.1371445859670639,0.2336825132369995
electricity,96,2024,0.1372124011516571,0.2341533601284027
electricity,96,2025,0.1370665634870529,0.2335527092218399
electricity,192,2021,0.150550524353981,0.2446793168783188
electricity,192,2022,0.1507492909431457,0.2448600083589553
electricity,192,2023,0.1511816481351852,0.2463823556900024
electricity,192,2024,0.1505856463909149,0.24484184384346
electricity,192,2025,0.151932890176773,0.2465688437223434
electricity,336,2021,0.1657939974069595,0.2602074742317199
electricity,336,2022,0.1658340666294097,0.2602315247058868
electricity,336,2023,0.1661873135566711,0.2609125673770904
electricity,336,2024,0.1660099897384643,0.260735809803009
electricity,336,2025,0.1661746326684951,0.26115283370018
electricity,720,2021,0.2049771863222122,0.2929930388927459
electricity,720,2022,0.2049464303255081,0.2930302321910858
electricity,720,2023,0.2050960081815719,0.2933726906776428
electricity,720,2024,0.2049464750289917,0.2929298281669616
electricity,720,2025,0.205033900141716,0.2931395471096039
traffic,96,2021,0.3888865485191345,0.2664133310317993
traffic,96,2022,0.3894111588001251,0.267560064792633
traffic,96,2023,0.3889508023262024,0.2665257751941681
traffic,96,2024,0.3887958600521088,0.2662616968154907
traffic,96,2025,0.3889556303024292,0.266416072845459
traffic,192,2021,0.3983079423904419,0.2701669931411743
traffic,192,2022,0.3987563481330872,0.2708712220191955
traffic,192,2023,0.39921733045578,0.2716354429721832
traffic,192,2024,0.4000644614696503,0.2725230455398559
traffic,192,2025,0.3986539175510406,0.2705714404582977
traffic,336,2021,0.412231248140335,0.2767772972583771
traffic,336,2022,0.4113668615818023,0.2765010297298431
traffic,336,2023,0.4116265292167663,0.2763053178787231
traffic,336,2024,0.4133947010040283,0.2794171571731567
traffic,336,2025,0.4113806600570678,0.2761163413524627
traffic,720,2021,0.4467229993343353,0.2976266145706177
traffic,720,2022,0.4472185523509979,0.2987317442893982
traffic,720,2023,0.447025999546051,0.2984939217567444
traffic,720,2024,0.4473368079662323,0.2985866665840149
traffic,720,2025,0.4466956408023834,0.2979324162006378
weather,96,2021,0.1678059958219528,0.2222338318824768
weather,96,2022,0.1680893861055374,0.2221948653459549
weather,96,2023,0.1686551533937454,0.2231355458498001
weather,96,2024,0.1671621166467666,0.2215014398097992
weather,96,2025,0.1682873480319977,0.2224311977624893
weather,192,2021,0.2070494499206542,0.2576275467872619
weather,192,2022,0.2089412417411804,0.2591145038604736
weather,192,2023,0.2095609214305877,0.2598768770694732
weather,192,2024,0.2095561977624893,0.2597720921039581
weather,192,2025,0.2098921891450881,0.2602548003196716
