dataset,pred_len,P,R,mse,mae,params
ETTh2,96,4,10,0.2742787003517151,0.3368261754512787,2055
ETTh2,192,8,8,0.33424699306488037,0.3743930459022522,929
ETTh2,336,12,10,0.355350136756897,0.3947471082210541,903
ETTh2,720,12,10,0.3788190186023712,0.4218846559524536,1223
ETTm2,96,2,10,0.16467761993408203,0.25533193349838257,4093
ETTm2,192,2,10,0.218937948346138,0.2934403121471405,4573
ETTm2,336,2,10,0.27086788415908813,0.3281617760658264,5293
ETTm2,720,8,9,0.35146260261535645,0.3792758285999298,1638
